"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"80","FBgn0028433",92.7261508365271,-1.27644704701631,0.224936774234091,8.5083500722289e-10,5.05821411794008e-08
"81","FBgn0028514",599.051934071321,-0.989156785624839,0.187654396219498,8.1675525179086e-09,4.02239879328718e-07
"82","FBgn0028563",1054.61672571693,-0.572998893148294,0.115949777676932,8.20794210753101e-08,3.37124868743674e-06
"83","FBgn0028990",1360.33038646665,-0.661266319766814,0.149886283509263,8.45989580060513e-07,2.81646850993746e-05
"84","FBgn0029002",1587.72811315595,1.36851420873722,0.22816382901028,1.26023779027368e-10,8.39116730275826e-09
"85","FBgn0029167",3706.11653071978,-2.18844884233809,0.0971941952697562,1.33042416810515e-113,3.69104011704639e-110
"86","FBgn0029801",1492.2907154224,-0.775806673887994,0.12504804895399,4.14561699191092e-11,3.05344869236058e-09
"87","FBgn0029896",489.892369695729,-2.42609025663718,0.15230128527916,2.91532734543284e-58,3.03303368700469e-55
"88","FBgn0030037",713.788951310912,0.702494801950749,0.102912207037718,8.35071506885066e-13,7.55467407804826e-11
"89","FBgn0030041",86.8729127322921,-2.7582792672513,0.349391827010179,2.17178374694046e-16,3.11650967685956e-14
"90","FBgn0030237",2009.26220112743,-0.917087358174108,0.116322781521485,2.02555150409045e-16,2.95766055588505e-14
"91","FBgn0030326",140.617019155969,-1.13816694509367,0.258272293848179,5.15859033965746e-07,1.75244683252935e-05
"92","FBgn0030349",1852.88931531509,-0.555739941403394,0.106262664010625,1.90165556940591e-08,8.74446370395876e-07
"93","FBgn0030452",945.476353913299,-0.665572447742869,0.125224014952942,9.19269168231139e-09,4.42258802727617e-07
"94","FBgn0030529",8881.14504394016,-0.536893279806036,0.0973314973511769,4.16462344975145e-09,2.18001012404285e-07
"95","FBgn0030598",37.9496164253343,1.98310424579942,0.334041691915821,2.01903315166866e-10,1.27306158494987e-08
"96","FBgn0030805",340.911562563948,1.02196215082904,0.176548559941003,4.48122285884091e-10,2.70269694595166e-08
"97","FBgn0031117",326.528362744363,0.963736105789409,0.180717262001567,6.39689086014242e-09,3.26633881159297e-07
"98","FBgn0031150",795.373694523486,1.1378692272909,0.165155697426279,4.09394937285716e-13,3.96208611980118e-11
"99","FBgn0031258",107.570874265497,-1.22735577886332,0.256130624782674,9.07892813489812e-08,3.66815140129889e-06
"100","FBgn0031322",396.81370023956,-1.35835262452323,0.197127972910148,2.441230398789e-13,2.47784885477083e-11
"101","FBgn0031327",756.376001806102,1.17655355395494,0.179023463490949,3.18428639906733e-12,2.67705209085226e-10
"102","FBgn0031359",553.951611605946,-0.797157961881993,0.166586808201154,1.13552141585148e-07,4.50044987815803e-06
"103","FBgn0031374",1994.69207554557,-0.780197823785651,0.127992949776774,8.04959810902821e-11,5.58306708845348e-09
